"gene","TF_family"
"TraesCS2A02G394700","ABI3/VP1"
"TraesCS2A02G460700","ABI3/VP1"
"TraesCS2A02G465700","ABI3/VP1"
"TraesCS2A02G474400","ABI3/VP1"
"TraesCS2B02G083200","ABI3/VP1"
"TraesCS2B02G122500","ABI3/VP1"
"TraesCS2B02G168900","ABI3/VP1"
"TraesCS2B02G178300","ABI3/VP1"
"TraesCS2B02G185400","ABI3/VP1"
"TraesCS2B02G185500","ABI3/VP1"
"TraesCS2B02G231800","ABI3/VP1"
"TraesCS2B02G412700","ABI3/VP1"
"TraesCS2B02G482400","ABI3/VP1"
"TraesCS2B02G487800","ABI3/VP1"
"TraesCS2B02G497900","ABI3/VP1"
"TraesCS2B02G498000","ABI3/VP1"
"TraesCS2B02G589800","ABI3/VP1"
"TraesCS2D02G105300","ABI3/VP1"
"TraesCS2D02G148000","ABI3/VP1"
"TraesCS2D02G158500","ABI3/VP1"
"TraesCS2D02G211600","ABI3/VP1"
"TraesCS2D02G281900","ABI3/VP1"
"TraesCS2D02G392400","ABI3/VP1"
"TraesCS2D02G460900","ABI3/VP1"
"TraesCS2D02G466100","ABI3/VP1"
"TraesCS2D02G474100","ABI3/VP1"
"TraesCS2D02G560000","ABI3/VP1"
"TraesCS3A02G005300","ABI3/VP1"
"TraesCS3A02G157500","ABI3/VP1"
"TraesCS3A02G249100","ABI3/VP1"
"TraesCS3A02G284300","ABI3/VP1"
"TraesCS3A02G285500","ABI3/VP1"
"TraesCS3A02G285800","ABI3/VP1"
"TraesCS3A02G310500","ABI3/VP1"
"TraesCS3A02G310600","ABI3/VP1"
"TraesCS3A02G405100","ABI3/VP1"
"TraesCS3A02G417300","ABI3/VP1"
"TraesCS3A02G462000","ABI3/VP1"
"TraesCS3A02G462100","ABI3/VP1"
"TraesCS3A02G483200","ABI3/VP1"
"TraesCS3A02G483400","ABI3/VP1"
"TraesCS3A02G483500","ABI3/VP1"
"TraesCS3A02G533900","ABI3/VP1"
"TraesCS3B02G153600","ABI3/VP1"
"TraesCS3B02G184200","ABI3/VP1"
"TraesCS3B02G278000","ABI3/VP1"
"TraesCS3B02G319400","ABI3/VP1"
"TraesCS3B02G320100","ABI3/VP1"
"TraesCS3B02G348400","ABI3/VP1"
"TraesCS3B02G438800","ABI3/VP1"
"TraesCS3B02G452200","ABI3/VP1"
"TraesCS3B02G504800","ABI3/VP1"
"TraesCS3B02G504900","ABI3/VP1"
"TraesCS3B02G505100","ABI3/VP1"
"TraesCS3B02G530100","ABI3/VP1"
"TraesCS3B02G530200","ABI3/VP1"
"TraesCS3B02G530300","ABI3/VP1"
"TraesCS3B02G550700","ABI3/VP1"
"TraesCS3B02G579000","ABI3/VP1"
"TraesCS3B02G610700","ABI3/VP1"
"TraesCS3D02G136400","ABI3/VP1"
"TraesCS3D02G136500","ABI3/VP1"
"TraesCS3D02G165100","ABI3/VP1"
"TraesCS3D02G249100","ABI3/VP1"
"TraesCS3D02G285300","ABI3/VP1"
"TraesCS3D02G285600","ABI3/VP1"
"TraesCS3D02G384400","ABI3/VP1"
"TraesCS3D02G400500","ABI3/VP1"
"TraesCS3D02G412800","ABI3/VP1"
"TraesCS3D02G455700","ABI3/VP1"
"TraesCS3D02G455800","ABI3/VP1"
"TraesCS3D02G478100","ABI3/VP1"
"TraesCS3D02G478600","ABI3/VP1"
"TraesCS3D02G478700","ABI3/VP1"
"TraesCS3D02G504400","ABI3/VP1"
"TraesCS3D02G539200","ABI3/VP1"
"TraesCS4A02G003900","ABI3/VP1"
"TraesCS4A02G053000","ABI3/VP1"
"TraesCS4A02G055500","ABI3/VP1"
"TraesCS4A02G055700","ABI3/VP1"
"TraesCS4A02G170200","ABI3/VP1"
"TraesCS4A02G198300","ABI3/VP1"
"TraesCS4A02G201100","ABI3/VP1"
"TraesCS4A02G214700","ABI3/VP1"
"TraesCS4A02G222500","ABI3/VP1"
"TraesCS4A02G225600","ABI3/VP1"
"TraesCS4A02G233700","ABI3/VP1"
"TraesCS4A02G233800","ABI3/VP1"
"TraesCS4A02G233900","ABI3/VP1"
"TraesCS4A02G241300","ABI3/VP1"
"TraesCS4A02G241500","ABI3/VP1"
"TraesCS4A02G241900","ABI3/VP1"
"TraesCS4A02G242000","ABI3/VP1"
"TraesCS4A02G242300","ABI3/VP1"
"TraesCS4A02G242400","ABI3/VP1"
"TraesCS4A02G283000","ABI3/VP1"
"TraesCS4A02G313800","ABI3/VP1"
"TraesCS4A02G357500","ABI3/VP1"
"TraesCS4A02G357600","ABI3/VP1"
"TraesCS4A02G357900","ABI3/VP1"
"TraesCS4A02G358000","ABI3/VP1"
"TraesCS4A02G363200","ABI3/VP1"
"TraesCS4A02G386800","ABI3/VP1"
"TraesCS4A02G426200","ABI3/VP1"
"TraesCS4A02G457200","ABI3/VP1"
"TraesCS4A02G458500","ABI3/VP1"
"TraesCS4A02G464900","ABI3/VP1"
"TraesCS4A02G472700","ABI3/VP1"
"TraesCS4A02G495200","ABI3/VP1"
"TraesCS4B02G030300","ABI3/VP1"
"TraesCS4B02G072700","ABI3/VP1"
"TraesCS4B02G072800","ABI3/VP1"
"TraesCS4B02G072900","ABI3/VP1"
"TraesCS4B02G073100","ABI3/VP1"
"TraesCS4B02G073200","ABI3/VP1"
"TraesCS4B02G073400","ABI3/VP1"
"TraesCS4B02G073600","ABI3/VP1"
"TraesCS4B02G081600","ABI3/VP1"
"TraesCS4B02G081700","ABI3/VP1"
"TraesCS4B02G081800","ABI3/VP1"
"TraesCS4B02G081900","ABI3/VP1"
"TraesCS4B02G094000","ABI3/VP1"
"TraesCS4B02G101400","ABI3/VP1"
"TraesCS4B02G117100","ABI3/VP1"
"TraesCS4B02G164600","ABI3/VP1"
"TraesCS4B02G249100","ABI3/VP1"
"TraesCS4B02G251500","ABI3/VP1"
"TraesCS4B02G301400","ABI3/VP1"
"TraesCS4B02G348500","ABI3/VP1"
"TraesCS4B02G352600","ABI3/VP1"
"TraesCS4D02G027700","ABI3/VP1"
"TraesCS4D02G071500","ABI3/VP1"
"TraesCS4D02G071600","ABI3/VP1"
"TraesCS4D02G071700","ABI3/VP1"
"TraesCS4D02G071900","ABI3/VP1"
"TraesCS4D02G072200","ABI3/VP1"
"TraesCS4D02G080200","ABI3/VP1"
"TraesCS4D02G080400","ABI3/VP1"
"TraesCS4D02G080500","ABI3/VP1"
"TraesCS4D02G090800","ABI3/VP1"
"TraesCS4D02G098100","ABI3/VP1"
"TraesCS4D02G114900","ABI3/VP1"
"TraesCS4D02G158600","ABI3/VP1"
"TraesCS4D02G249200","ABI3/VP1"
"TraesCS4D02G249400","ABI3/VP1"
"TraesCS4D02G251500","ABI3/VP1"
"TraesCS4D02G299700","ABI3/VP1"
"TraesCS4D02G348900","ABI3/VP1"
"TraesCS5A02G065000","ABI3/VP1"
"TraesCS5A02G065100","ABI3/VP1"
"TraesCS5A02G066600","ABI3/VP1"
"TraesCS5A02G066700","ABI3/VP1"
"TraesCS5A02G066800","ABI3/VP1"
"TraesCS5A02G066900","ABI3/VP1"
"TraesCS5A02G067000","ABI3/VP1"
"TraesCS5A02G090100","ABI3/VP1"
"TraesCS5A02G127100","ABI3/VP1"
"TraesCS5A02G335800","ABI3/VP1"
"TraesCS5A02G363700","ABI3/VP1"
"TraesCS5A02G363800","ABI3/VP1"
"TraesCS5A02G387400","ABI3/VP1"
"TraesCS5A02G415500","ABI3/VP1"
"TraesCS5A02G438500","ABI3/VP1"
"TraesCS5A02G438600","ABI3/VP1"
"TraesCS5A02G438700","ABI3/VP1"
"TraesCS5A02G482700","ABI3/VP1"
"TraesCS5A02G516600","ABI3/VP1"
"TraesCS5A02G524700","ABI3/VP1"
"TraesCS5B02G071900","ABI3/VP1"
"TraesCS5B02G072600","ABI3/VP1"
"TraesCS5B02G073300","ABI3/VP1"
"TraesCS5B02G073400","ABI3/VP1"
"TraesCS5B02G073500","ABI3/VP1"
"TraesCS5B02G073600","ABI3/VP1"
"TraesCS5B02G073700","ABI3/VP1"
"TraesCS5B02G073800","ABI3/VP1"
"TraesCS5B02G095900","ABI3/VP1"
"TraesCS5B02G126200","ABI3/VP1"
"TraesCS5B02G365800","ABI3/VP1"
"TraesCS5B02G392500","ABI3/VP1"
"TraesCS5B02G441400","ABI3/VP1"
"TraesCS5B02G441500","ABI3/VP1"
"TraesCS5B02G467600","ABI3/VP1"
"TraesCS5B02G495900","ABI3/VP1"
"TraesCS5B02G510500","ABI3/VP1"
"TraesCS5B02G514600","ABI3/VP1"
"TraesCS5B02G515000","ABI3/VP1"
"TraesCS5D02G075900","ABI3/VP1"
"TraesCS5D02G076700","ABI3/VP1"
"TraesCS5D02G076800","ABI3/VP1"
"TraesCS5D02G076900","ABI3/VP1"
"TraesCS5D02G077700","ABI3/VP1"
"TraesCS5D02G077800","ABI3/VP1"
"TraesCS5D02G077900","ABI3/VP1"
"TraesCS5D02G078100","ABI3/VP1"
"TraesCS5D02G078200","ABI3/VP1"
"TraesCS5D02G102200","ABI3/VP1"
"TraesCS5D02G134700","ABI3/VP1"
"TraesCS5D02G372900","ABI3/VP1"
"TraesCS5D02G397300","ABI3/VP1"
"TraesCS5D02G411500","ABI3/VP1"
"TraesCS5D02G445800","ABI3/VP1"
"TraesCS5D02G496300","ABI3/VP1"
"TraesCS5D02G514900","ABI3/VP1"
"TraesCS5D02G515000","ABI3/VP1"
"TraesCS5D02G515100","ABI3/VP1"
"TraesCS5D02G515200","ABI3/VP1"
"TraesCS6A02G176600","ABI3/VP1"
"TraesCS6A02G213000","ABI3/VP1"
"TraesCS6A02G259600","ABI3/VP1"
"TraesCS6A02G324600","ABI3/VP1"
"TraesCS6A02G399800","ABI3/VP1"
"TraesCS6B02G241100","ABI3/VP1"
"TraesCS6B02G286900","ABI3/VP1"
"TraesCS6B02G440000","ABI3/VP1"
"TraesCS6D02G080700","ABI3/VP1"
"TraesCS6D02G194700","ABI3/VP1"
"TraesCS6D02G240600","ABI3/VP1"
"TraesCS6D02G347900","ABI3/VP1"
"TraesCS6D02G384000","ABI3/VP1"
"TraesCS7A02G020700","ABI3/VP1"
"TraesCS7A02G020800","ABI3/VP1"
"TraesCS7A02G031000","ABI3/VP1"
"TraesCS7A02G032400","ABI3/VP1"
"TraesCS7A02G062700","ABI3/VP1"
"TraesCS7A02G087900","ABI3/VP1"
"TraesCS7A02G179800","ABI3/VP1"
"TraesCS7A02G329600","ABI3/VP1"
"TraesCS7A02G392500","ABI3/VP1"
"TraesCS7A02G399500","ABI3/VP1"
"TraesCS7A02G417300","ABI3/VP1"
"TraesCS7A02G461000","ABI3/VP1"
"TraesCS7A02G499500","ABI3/VP1"
"TraesCS7B02G085000","ABI3/VP1"
"TraesCS7B02G230100","ABI3/VP1"
"TraesCS7B02G294500","ABI3/VP1"
"TraesCS7B02G364000","ABI3/VP1"
"TraesCS7B02G406400","ABI3/VP1"
"TraesCS7B02G406500","ABI3/VP1"
"TraesCS7D02G017000","ABI3/VP1"
"TraesCS7D02G020700","ABI3/VP1"
"TraesCS7D02G022400","ABI3/VP1"
"TraesCS7D02G027300","ABI3/VP1"
"TraesCS7D02G057400","ABI3/VP1"
"TraesCS7D02G083000","ABI3/VP1"
"TraesCS7D02G181300","ABI3/VP1"
"TraesCS7D02G326300","ABI3/VP1"
"TraesCS7D02G388100","ABI3/VP1"
"TraesCS7D02G448900","ABI3/VP1"
"TraesCS7D02G486300","ABI3/VP1"
"TraesCS7D02G525400","ABI3/VP1"
"TraesCSU02G075300","ABI3/VP1"
"TraesCSU02G231000","ABI3/VP1"
"TraesCSU02G254800","ABI3/VP1"
"TraesCS1A02G263100","AP2/EREBP"
"TraesCS1A02G434500","AP2/EREBP"
"TraesCS1B02G281500","AP2/EREBP"
"TraesCS5A02G386100","AP2/EREBP"
"TraesCS5B02G310900","AP2/EREBP"
"TraesCS5B02G391100","AP2/EREBP"
"TraesCS5B02G486900","AP2/EREBP"
"TraesCS6A02G256600","AP2/EREBP"
"TraesCS7A02G293000","AP2/EREBP"
"TraesCS7B02G324400","AP2/EREBP"
"TraesCS7D02G481900","AP2/EREBP"
"TraesCS1A02G058400","AP2/EREBP"
"TraesCS1A02G141800","AP2/EREBP"
"TraesCS1A02G187900","AP2/EREBP"
"TraesCS1A02G218100","AP2/EREBP"
"TraesCS1A02G220000","AP2/EREBP"
"TraesCS1A02G221900","AP2/EREBP"
"TraesCS1A02G223400","AP2/EREBP"
"TraesCS1A02G231200","AP2/EREBP"
"TraesCS1A02G242800","AP2/EREBP"
"TraesCS1A02G244800","AP2/EREBP"
"TraesCS1A02G272300","AP2/EREBP"
"TraesCS1A02G314200","AP2/EREBP"
"TraesCS1A02G314300","AP2/EREBP"
"TraesCS1A02G328800","AP2/EREBP"
"TraesCS1A02G357800","AP2/EREBP"
"TraesCS1A02G370400","AP2/EREBP"
"TraesCS1A02G370600","AP2/EREBP"
"TraesCS1A02G370700","AP2/EREBP"
"TraesCS1A02G372100","AP2/EREBP"
"TraesCS1A02G372200","AP2/EREBP"
"TraesCS1A02G372300","AP2/EREBP"
"TraesCS1A02G399500","AP2/EREBP"
"TraesCS1A02G411100","AP2/EREBP"
"TraesCS1B02G076300","AP2/EREBP"
"TraesCS1B02G158400","AP2/EREBP"
"TraesCS1B02G195700","AP2/EREBP"
"TraesCS1B02G233300","AP2/EREBP"
"TraesCS1B02G235100","AP2/EREBP"
"TraesCS1B02G236700","AP2/EREBP"
"TraesCS1B02G243200","AP2/EREBP"
"TraesCS1B02G254300","AP2/EREBP"
"TraesCS1B02G256000","AP2/EREBP"
"TraesCS1B02G282300","AP2/EREBP"
"TraesCS1B02G307000","AP2/EREBP"
"TraesCS1B02G326500","AP2/EREBP"
"TraesCS1B02G326600","AP2/EREBP"
"TraesCS1B02G335100","AP2/EREBP"
"TraesCS1B02G342500","AP2/EREBP"
"TraesCS1B02G389700","AP2/EREBP"
"TraesCS1B02G389800","AP2/EREBP"
"TraesCS1B02G389900","AP2/EREBP"
"TraesCS1B02G392000","AP2/EREBP"
"TraesCS1B02G392200","AP2/EREBP"
"TraesCS1B02G392300","AP2/EREBP"
"TraesCS1B02G427500","AP2/EREBP"
"TraesCS1B02G427600","AP2/EREBP"
"TraesCS1B02G441300","AP2/EREBP"
"TraesCS1D02G059200","AP2/EREBP"
"TraesCS1D02G140900","AP2/EREBP"
"TraesCS1D02G188700","AP2/EREBP"
"TraesCS1D02G221500","AP2/EREBP"
"TraesCS1D02G223600","AP2/EREBP"
"TraesCS1D02G225000","AP2/EREBP"
"TraesCS1D02G230900","AP2/EREBP"
"TraesCS1D02G242800","AP2/EREBP"
"TraesCS1D02G244500","AP2/EREBP"
"TraesCS1D02G272600","AP2/EREBP"
"TraesCS1D02G314700","AP2/EREBP"
"TraesCS1D02G314800","AP2/EREBP"
"TraesCS1D02G331100","AP2/EREBP"
"TraesCS1D02G331200","AP2/EREBP"
"TraesCS1D02G362500","AP2/EREBP"
"TraesCS1D02G376500","AP2/EREBP"
"TraesCS1D02G376600","AP2/EREBP"
"TraesCS1D02G376700","AP2/EREBP"
"TraesCS1D02G376800","AP2/EREBP"
"TraesCS1D02G378400","AP2/EREBP"
"TraesCS1D02G378500","AP2/EREBP"
"TraesCS1D02G378800","AP2/EREBP"
"TraesCS1D02G378900","AP2/EREBP"
"TraesCS1D02G407000","AP2/EREBP"
"TraesCS1D02G407100","AP2/EREBP"
"TraesCS1D02G418900","AP2/EREBP"
"TraesCS2A02G041500","AP2/EREBP"
"TraesCS2A02G041600","AP2/EREBP"
"TraesCS2A02G109800","AP2/EREBP"
"TraesCS2A02G116900","AP2/EREBP"
"TraesCS2A02G185600","AP2/EREBP"
"TraesCS2A02G267600","AP2/EREBP"
"TraesCS2A02G288000","AP2/EREBP"
"TraesCS2A02G288700","AP2/EREBP"
"TraesCS2A02G310700","AP2/EREBP"
"TraesCS2A02G373700","AP2/EREBP"
"TraesCS2A02G393500","AP2/EREBP"
"TraesCS2A02G399500","AP2/EREBP"
"TraesCS2A02G415100","AP2/EREBP"
"TraesCS2A02G415200","AP2/EREBP"
"TraesCS2A02G415300","AP2/EREBP"
"TraesCS2A02G417100","AP2/EREBP"
"TraesCS2A02G417200","AP2/EREBP"
"TraesCS2A02G417300","AP2/EREBP"
"TraesCS2A02G427700","AP2/EREBP"
"TraesCS2A02G463400","AP2/EREBP"
"TraesCS2A02G503100","AP2/EREBP"
"TraesCS2A02G505600","AP2/EREBP"
"TraesCS2A02G514200","AP2/EREBP"
"TraesCS2A02G514300","AP2/EREBP"
"TraesCS2A02G542700","AP2/EREBP"
"TraesCS2B02G002700","AP2/EREBP"
"TraesCS2B02G053900","AP2/EREBP"
"TraesCS2B02G054000","AP2/EREBP"
"TraesCS2B02G054100","AP2/EREBP"
"TraesCS2B02G127800","AP2/EREBP"
"TraesCS2B02G136100","AP2/EREBP"
"TraesCS2B02G221700","AP2/EREBP"
"TraesCS2B02G268100","AP2/EREBP"
"TraesCS2B02G304800","AP2/EREBP"
"TraesCS2B02G305500","AP2/EREBP"
"TraesCS2B02G327700","AP2/EREBP"
"TraesCS2B02G378100","AP2/EREBP"
"TraesCS2B02G390800","AP2/EREBP"
"TraesCS2B02G411500","AP2/EREBP"
"TraesCS2B02G417500","AP2/EREBP"
"TraesCS2B02G434100","AP2/EREBP"
"TraesCS2B02G434200","AP2/EREBP"
"TraesCS2B02G434300","AP2/EREBP"
"TraesCS2B02G436100","AP2/EREBP"
"TraesCS2B02G436200","AP2/EREBP"
"TraesCS2B02G436300","AP2/EREBP"
"TraesCS2B02G448100","AP2/EREBP"
"TraesCS2B02G485200","AP2/EREBP"
"TraesCS2B02G485400","AP2/EREBP"
"TraesCS2B02G529200","AP2/EREBP"
"TraesCS2B02G530800","AP2/EREBP"
"TraesCS2B02G531100","AP2/EREBP"
"TraesCS2B02G534000","AP2/EREBP"
"TraesCS2B02G542300","AP2/EREBP"
"TraesCS2B02G542400","AP2/EREBP"
"TraesCS2B02G572500","AP2/EREBP"
"TraesCS2D02G015200","AP2/EREBP"
"TraesCS2D02G039800","AP2/EREBP"
"TraesCS2D02G040100","AP2/EREBP"
"TraesCS2D02G040200","AP2/EREBP"
"TraesCS2D02G040300","AP2/EREBP"
"TraesCS2D02G110000","AP2/EREBP"
"TraesCS2D02G202100","AP2/EREBP"
"TraesCS2D02G256600","AP2/EREBP"
"TraesCS2D02G286300","AP2/EREBP"
"TraesCS2D02G286900","AP2/EREBP"
"TraesCS2D02G300700","AP2/EREBP"
"TraesCS2D02G308900","AP2/EREBP"
"TraesCS2D02G357600","AP2/EREBP"
"TraesCS2D02G369900","AP2/EREBP"
"TraesCS2D02G391400","AP2/EREBP"
"TraesCS2D02G397000","AP2/EREBP"
"TraesCS2D02G412200","AP2/EREBP"
"TraesCS2D02G412400","AP2/EREBP"
"TraesCS2D02G414300","AP2/EREBP"
"TraesCS2D02G414500","AP2/EREBP"
"TraesCS2D02G414600","AP2/EREBP"
"TraesCS2D02G425700","AP2/EREBP"
"TraesCS2D02G464400","AP2/EREBP"
"TraesCS2D02G464600","AP2/EREBP"
"TraesCS2D02G503100","AP2/EREBP"
"TraesCS2D02G503900","AP2/EREBP"
"TraesCS2D02G506500","AP2/EREBP"
"TraesCS2D02G511600","AP2/EREBP"
"TraesCS2D02G515800","AP2/EREBP"
"TraesCS2D02G515900","AP2/EREBP"
"TraesCS2D02G543900","AP2/EREBP"
"TraesCS3A02G053900","AP2/EREBP"
"TraesCS3A02G054000","AP2/EREBP"
"TraesCS3A02G099200","AP2/EREBP"
"TraesCS3A02G238300","AP2/EREBP"
"TraesCS3A02G259900","AP2/EREBP"
"TraesCS3A02G291400","AP2/EREBP"
"TraesCS3A02G313100","AP2/EREBP"
"TraesCS3A02G313900","AP2/EREBP"
"TraesCS3A02G328000","AP2/EREBP"
"TraesCS3A02G328100","AP2/EREBP"
"TraesCS3A02G379900","AP2/EREBP"
"TraesCS3A02G395500","AP2/EREBP"
"TraesCS3A02G404400","AP2/EREBP"
"TraesCS3B02G064900","AP2/EREBP"
"TraesCS3B02G065100","AP2/EREBP"
"TraesCS3B02G115400","AP2/EREBP"
"TraesCS3B02G158000","AP2/EREBP"
"TraesCS3B02G158800","AP2/EREBP"
"TraesCS3B02G176200","AP2/EREBP"
"TraesCS3B02G266800","AP2/EREBP"
"TraesCS3B02G293000","AP2/EREBP"
"TraesCS3B02G326000","AP2/EREBP"
"TraesCS3B02G357600","AP2/EREBP"
"TraesCS3B02G368400","AP2/EREBP"
"TraesCS3B02G412500","AP2/EREBP"
"TraesCS3B02G427300","AP2/EREBP"
"TraesCS3B02G437900","AP2/EREBP"
"TraesCS3D02G052300","AP2/EREBP"
"TraesCS3D02G052400","AP2/EREBP"
"TraesCS3D02G099500","AP2/EREBP"
"TraesCS3D02G140500","AP2/EREBP"
"TraesCS3D02G141200","AP2/EREBP"
"TraesCS3D02G157100","AP2/EREBP"
"TraesCS3D02G238600","AP2/EREBP"
"TraesCS3D02G260100","AP2/EREBP"
"TraesCS3D02G291100","AP2/EREBP"
"TraesCS3D02G321500","AP2/EREBP"
"TraesCS3D02G321700","AP2/EREBP"
"TraesCS3D02G330400","AP2/EREBP"
"TraesCS3D02G372900","AP2/EREBP"
"TraesCS3D02G389100","AP2/EREBP"
"TraesCS4A02G001300","AP2/EREBP"
"TraesCS4A02G001400","AP2/EREBP"
"TraesCS4A02G005400","AP2/EREBP"
"TraesCS4A02G005500","AP2/EREBP"
"TraesCS4A02G005600","AP2/EREBP"
"TraesCS4A02G011600","AP2/EREBP"
"TraesCS4A02G013600","AP2/EREBP"
"TraesCS4A02G035400","AP2/EREBP"
"TraesCS4A02G060400","AP2/EREBP"
"TraesCS4A02G088400","AP2/EREBP"
"TraesCS4A02G123800","AP2/EREBP"
"TraesCS4A02G181300","AP2/EREBP"
"TraesCS4A02G227400","AP2/EREBP"
"TraesCS4A02G236300","AP2/EREBP"
"TraesCS4A02G259200","AP2/EREBP"
"TraesCS4A02G314500","AP2/EREBP"
"TraesCS4A02G314600","AP2/EREBP"
"TraesCS4A02G326400","AP2/EREBP"
"TraesCS4A02G395400","AP2/EREBP"
"TraesCS4A02G412200","AP2/EREBP"
"TraesCS4A02G416000","AP2/EREBP"
"TraesCS4A02G433200","AP2/EREBP"
"TraesCS4A02G433300","AP2/EREBP"
"TraesCS4B02G001900","AP2/EREBP"
"TraesCS4B02G002000","AP2/EREBP"
"TraesCS4B02G055500","AP2/EREBP"
"TraesCS4B02G078700","AP2/EREBP"
"TraesCS4B02G088900","AP2/EREBP"
"TraesCS4B02G122100","AP2/EREBP"
"TraesCS4B02G136400","AP2/EREBP"
"TraesCS4B02G180600","AP2/EREBP"
"TraesCS4B02G215800","AP2/EREBP"
"TraesCS4B02G235900","AP2/EREBP"
"TraesCS4B02G268100","AP2/EREBP"
"TraesCS4B02G290100","AP2/EREBP"
"TraesCS4B02G292900","AP2/EREBP"
"TraesCS4B02G299400","AP2/EREBP"
"TraesCS4B02G299500","AP2/EREBP"
"TraesCS4B02G299600","AP2/EREBP"
"TraesCS4B02G299700","AP2/EREBP"
"TraesCS4B02G312400","AP2/EREBP"
"TraesCS4B02G316800","AP2/EREBP"
"TraesCS4B02G325600","AP2/EREBP"
"TraesCS4B02G325700","AP2/EREBP"
"TraesCS4B02G354400","AP2/EREBP"
"TraesCS4D02G001200","AP2/EREBP"
"TraesCS4D02G002400","AP2/EREBP"
"TraesCS4D02G077500","AP2/EREBP"
"TraesCS4D02G087000","AP2/EREBP"
"TraesCS4D02G120200","AP2/EREBP"
"TraesCS4D02G131200","AP2/EREBP"
"TraesCS4D02G182100","AP2/EREBP"
"TraesCS4D02G216300","AP2/EREBP"
"TraesCS4D02G237300","AP2/EREBP"
"TraesCS4D02G289200","AP2/EREBP"
"TraesCS4D02G291300","AP2/EREBP"
"TraesCS4D02G298400","AP2/EREBP"
"TraesCS4D02G298600","AP2/EREBP"
"TraesCS4D02G310000","AP2/EREBP"
"TraesCS4D02G313400","AP2/EREBP"
"TraesCS4D02G315000","AP2/EREBP"
"TraesCS4D02G322500","AP2/EREBP"
"TraesCS4D02G322600","AP2/EREBP"
"TraesCS4D02G348100","AP2/EREBP"
"TraesCS5A02G065400","AP2/EREBP"
"TraesCS5A02G071300","AP2/EREBP"
"TraesCS5A02G112600","AP2/EREBP"
"TraesCS5A02G141700","AP2/EREBP"
"TraesCS5A02G174700","AP2/EREBP"
"TraesCS5A02G215900","AP2/EREBP"
"TraesCS5A02G221600","AP2/EREBP"
"TraesCS5A02G238400","AP2/EREBP"
"TraesCS5A02G308000","AP2/EREBP"
"TraesCS5A02G310000","AP2/EREBP"
"TraesCS5A02G310200","AP2/EREBP"
"TraesCS5A02G310500","AP2/EREBP"
"TraesCS5A02G310600","AP2/EREBP"
"TraesCS5A02G310700","AP2/EREBP"
"TraesCS5A02G311000","AP2/EREBP"
"TraesCS5A02G311100","AP2/EREBP"
"TraesCS5A02G311300","AP2/EREBP"
"TraesCS5A02G311500","AP2/EREBP"
"TraesCS5A02G311600","AP2/EREBP"
"TraesCS5A02G311700","AP2/EREBP"
"TraesCS5A02G311900","AP2/EREBP"
"TraesCS5A02G312400","AP2/EREBP"
"TraesCS5A02G314600","AP2/EREBP"
"TraesCS5A02G405400","AP2/EREBP"
"TraesCS5A02G424600","AP2/EREBP"
"TraesCS5A02G468800","AP2/EREBP"
"TraesCS5A02G473800","AP2/EREBP"
"TraesCS5A02G497900","AP2/EREBP"
"TraesCS5A02G523700","AP2/EREBP"
